3128808;Guidoval;0,591
3128907;Guimarânia;0,667
3129004;Guiricema;0,579
3129103;Gurinhatã;0,646
3129202;Heliodora;0,651
3129301;Iapu;0,645
3129400;Ibertioga;0,643
3129509;Ibiá;0,656
3129608;Ibiaí;0,505
3129657;Ibiracatu;0,506
3129707;Ibiraci;0,619
3129806;Ibirité;0,601
3129905;Ibitiúra de Minas;0,544
3130002;Ibituruna;0,637
3130051;Icaraí de Minas;0,548
3130101;Igarapé;0,609
3130200;Igaratinga;0,528
3130309;Iguatama;0,532
3130408;Ijaci;0,677
3130507;Ilicínea;0,662
3130556;Imbé de Minas;0,478
3130606;Inconfidentes;0,617
3130655;Indaiabira;0,544
3130705;Indianópolis;0,566
3130804;Ingaí;0,543
3130903;Inhapim;0,589
3131000;Inhaúma;0,547
3131109;Inimutaba;0,602
3131158;Ipaba;0,592
3131208;Ipanema;0,673
3131307;Ipatinga;0,706
3131406;Ipiaçu;0,546
3131505;Ipuiúna;0,596
3131604;Iraí de Minas;0,575
3131703;Itabira;0,701
3131802;Itabirinha;0,504
3131901;Itabirito;0,736
3132008;Itacambira;0,563
3132107;Itacarambi;0,487
3132206;Itaguara;0,692
3132305;Itaipé;0,565
3132404;Itajubá;0,708
3132503;Itamarandiba;0,627
3132602;Itamarati de Minas;0,694
3132701;Itambacuri;0,599
3132800;Itambé do Mato Dentro;0,585
3132909;Itamogi;0,647
3133006;Itamonte;0,644
3133105;Itanhandu;0,711
3133204;Itanhomi;0,517
3133303;Itaobim;0,572
3133402;Itapagipe;0,635
3133501;Itapecerica;0,653
3133600;Itapeva;0,665
3133709;Itatiaiuçu;0,590
3133758;Itaú de Minas;0,672
3133808;Itaúna;0,678
3133907;Itaverava;0,605
3134004;Itinga;0,558
3134103;Itueta;0,567
3134202;Ituiutaba;0,690
3134301;Itumirim;0,558
3134400;Iturama;0,679
3134509;Itutinga;0,728
3134608;Jaboticatubas;0,643
3134707;Jacinto;0,496
3134806;Jacuí;0,594
3134905;Jacutinga;0,598
3135001;Jaguaraçu;0,687
3135050;Jaíba;0,480
3135076;Jampruca;0,447
3135100;Janaúba;0,550
3135209;Januária;0,531
3135308;Japaraíba;0,650
3135357;Japonvar;0,546
3135407;Jeceaba;0,637
3135456;Jenipapo de Minas;0,579
3135506;Jequeri;0,531
